AppUsage,SwipeRatio,message_sent_count,profile_pics_count,bio_length,emoji_usage_rate,location_type,education_level,Situationship_Index,Outcome_encoded
0.17333333333333334,0.6,0.75,0.6666666666666666,0.088,0.3829787234042553,1,2,42.762068965517244,1
0.10666666666666667,0.23,0.67,0.6666666666666666,0.47800000000000004,0.2872340425531915,1,1,31.453030303030303,1
0.6366666666666667,0.41,0.99,0.6666666666666666,0.976,0.6063829787234042,1,4,56.89557823129252,2
0.10666666666666667,0.38,0.29,0.6666666666666666,0.5660000000000001,0.2446808510638298,1,4,53.233333333333334,1
0.4033333333333334,0.28,0.6900000000000001,0.5,0.218,0.0851063829787234,1,2,38.824999999999996,2
0.16333333333333333,0.56,0.52,0.3333333333333333,0.432,0.4148936170212766,1,4,42.79358974358974,1
0.4,0.68,0.74,0.6666666666666666,0.252,0.2127659574468085,1,1,55.27884615384615,2
0.93,0.46,0.18,0.6666666666666666,0.5640000000000001,0.29787234042553196,1,1,56.55,1
0.17333333333333334,0.5,0.52,0.6666666666666666,0.904,0.3829787234042553,1,2,36.97326007326007,0
0.5466666666666667,0.6,0.27,0.5,0.6900000000000001,0.26595744680851063,0,3,56.21666666666667,0
0.2066666666666667,0.31,0.85,1.0,0.47400000000000003,0.574468085106383,1,4,39.128632478632476,2
0.4866666666666667,0.35,0.6900000000000001,0.3333333333333333,0.326,0.23404255319148937,1,2,47.504644808743166,0
0.9233333333333333,0.5,0.53,0.0,0.21,0.7021276595744681,1,2,67.10833333333332,1
0.6900000000000001,0.46,0.16,1.0,0.47800000000000004,0.4148936170212766,1,3,59.9779569892473,1
0.92,0.54,0.08,0.16666666666666666,0.664,0.0851063829787234,0,1,61.771428571428565,1
0.19333333333333336,0.85,0.89,0.16666666666666666,0.47600000000000003,0.425531914893617,1,1,47.84425287356322,0
0.9800000000000001,0.72,0.91,0.5,0.406,0.35106382978723405,1,1,73.13333333333334,2
0.6166666666666667,0.69,0.9,1.0,0.47000000000000003,0.5425531914893617,1,3,59.53885480572597,0
0.39333333333333337,0.67,0.15,0.16666666666666666,0.322,0.031914893617021274,0,4,36.96827956989247,0
0.43000000000000005,0.25,0.51,1.0,0.066,0.3829787234042553,1,4,45.69024390243902,2
0.7466666666666667,0.51,0.55,0.0,0.91,0.44680851063829785,1,2,41.264285714285705,2
0.9833333333333334,0.76,0.8300000000000001,0.5,0.53,0.0425531914893617,1,2,73.87121212121212,0
0.8500000000000001,0.56,0.26,1.0,0.052000000000000005,0.13829787234042554,1,4,66.57608695652173,0
0.47000000000000003,0.5,0.43,1.0,0.424,0.3617021276595745,1,4,50.79343434343434,1
0.8066666666666668,0.88,0.49,1.0,0.39,0.5851063829787234,1,2,71.22780847145488,0
0.91,0.36,0.91,0.3333333333333333,0.64,0.20212765957446807,1,3,58.1969387755102,1
0.7333333333333334,0.41,0.72,0.6666666666666666,0.42,0.3617021276595745,0,2,56.31140350877193,0
0.06666666666666667,0.58,0.74,0.5,0.034,0.19148936170212766,1,1,34.020833333333336,0
0.8366666666666667,0.23,0.1,0.5,0.074,0.574468085106383,1,3,56.071584699453545,0
0.8300000000000001,0.69,0.28,0.3333333333333333,0.046,0.2553191489361702,1,3,67.41111111111111,1
0.13333333333333333,0.46,0.43,0.3333333333333333,0.762,0.13829787234042554,1,3,34.54901960784314,0
0.25,0.97,0.25,0.16666666666666666,0.262,0.1276595744680851,1,2,56.77049180327869,0
0.09333333333333334,0.31,0.59,0.0,0.316,0.49999999999999994,1,4,31.62106227106227,1
0.6533333333333333,0.54,0.9400000000000001,0.6666666666666666,0.976,0.2553191489361702,1,1,57.58515406162466,2
0.7666666666666667,0.35,0.91,1.0,0.35000000000000003,0.1276595744680851,0,4,37.43518518518518,0
0.62,0.68,0.52,0.3333333333333333,0.396,0.14893617021276598,1,4,56.147916666666674,2
0.36333333333333334,0.45,0.24,1.0,0.496,0.22340425531914893,1,2,40.443939393939395,0
0.5733333333333334,0.51,0.48,0.16666666666666666,0.61,0.13829787234042554,1,4,55.405499153976315,0
0.9,0.7,0.3,1.0,0.294,0.1276595744680851,1,2,73.31192660550458,1
0.8933333333333334,0.57,0.64,0.6666666666666666,0.556,0.15957446808510636,1,3,69.97903225806452,1
0.2966666666666667,0.58,0.61,0.5,0.712,0.49999999999999994,1,3,47.25833333333333,0
0.6900000000000001,0.75,0.86,1.0,0.766,0.2872340425531915,0,2,63.644680851063825,0
0.6233333333333334,0.58,0.31,0.8333333333333333,0.28400000000000003,0.5106382978723404,1,1,58.8656862745098,0
0.36333333333333334,0.45,0.62,0.8333333333333333,0.9380000000000001,0.15957446808510636,1,2,47.533545647558384,0
0.5900000000000001,0.39,0.37,0.6666666666666666,0.554,0.2872340425531915,1,4,55.12527472527473,0
0.21333333333333335,0.62,0.11,0.6666666666666666,0.546,0.13829787234042554,1,2,46.56915113871636,0
0.1366666666666667,0.82,0.33,1.0,0.59,0.2127659574468085,1,3,29.45,2
0.07666666666666667,0.39,0.6,0.8333333333333333,0.34,0.0851063829787234,1,4,32.43333333333334,0
0.51,0.28,0.65,0.6666666666666666,0.848,0.13829787234042554,0,3,48.20526315789474,2
0.9933333333333334,0.75,0.88,0.8333333333333333,0.892,0.031914893617021274,1,3,70.60527426160338,2
